HD7924c	TIC-468723402
HD7924d	TIC-468723402
HD79498b	TIC-85998162
HD80606b	TIC-457134360
HD81688b	TIC-105438311
HD81817b	TIC-137603530
HD82943b	TIC-405485269
HD82943c	TIC-405485269
HD8326b	TIC-11613065
HD83443b	TIC-32820141
HD8535b	TIC-41862035
HD85390b	TIC-446137194
HD86081b	TIC-62760824
HD86226b	TIC-22221375
HD86226c	TIC-22221375
HD86264b	TIC-348964243
HD8673b	TIC-80535228
HD86950b	TIC-332711151
HD87883b	TIC-407591082
HD89744b	TIC-8154501
HD90156b	TIC-193032655
HD9174b	TIC-439501096
HD92788b	TIC-169248301
HD92788c	TIC-169248301
HD92987b	TIC-106760549
HD93083b	TIC-54237857
HD94834b	TIC-138764379
HD95086b	TIC-399637637
HD95127b	TIC-252794572
HD95338b	TIC-304142124
HD95872b	TIC-52198580
HD96063b	TIC-53178442
HD96127b	TIC-252803484
HD96167b	TIC-286277386
HD96992b	TIC-88704251
HD97048b	TIC-454291762
HD97658b	TIC-82308728
HD98219b	TIC-437246853
HD98649b	TIC-437258837
HD99706b	TIC-148680230
HD99706c	TIC-148680230
HIP105854b	TIC-129649472
HIP107772b	TIC-197602069
HIP107773b	TIC-406320735
HIP109384b	TIC-316470945
HIP109600b	TIC-27864699
HIP12961b	TIC-204614039
HIP35173b	TIC-50992589
HIP38594b	TIC-128902569
HIP38594c	TIC-128902569
HIP41378b	TIC-366443426
HIP41378c	TIC-366443426
HIP41378d	TIC-366443426
HIP41378e	TIC-366443426
HIP41378f	TIC-366443426
HIP4845b	TIC-24250831
HIP48714b	TIC-287165117
HIP5158b	TIC-268634769
HIP5158c	TIC-268634769
HIP54373b	TIC-410407964
HIP54373c	TIC-410407964
HIP57274b	TIC-5078530
HIP57274c	TIC-5078530
HIP57274d	TIC-5078530
HIP63242b	TIC-437310271
HIP65Ab	TIC-201248411
HIP65407b	TIC-165454978
HIP65407c	TIC-165454978
HIP65426b	TIC-438702139
HIP65891b	TIC-68418284
HIP67522b	TIC-166527623
HIP67537b	TIC-166526615
HIP67851b	TIC-111947706
HIP67851c	TIC-111947706
HIP70849b	TIC-127382459
HIP71135b	TIC-457695809
HIP74890b	TIC-148153804
HIP8541b	TIC-231019255
HIP91258b	TIC-383675945
HR2562b	TIC-167656187
HR5183b	TIC-379117362
HR810b	TIC-166853853
HR858b	TIC-178155732
HR858c	TIC-178155732
HR858d	TIC-178155732
IC46519122b	TIC-214416505
K2-117b	TIC-458686847
K2-117c	TIC-458686847
K2-223b	TIC-98594138
K2-223c	TIC-98594138
K2-265b	TIC-146364192
K2-321b	TIC-277833995
K2-43b	TIC-443616612
K2-43c	TIC-443616612
K2-80b	TIC-242961495
K2-80c	TIC-242961495
K2-80d	TIC-242961495
KELT-15b	TIC-268644785
KELT-16b	TIC-236445129
KELT-18b	TIC-293687315
KELT-19Ab	TIC-425206121
KELT-23Ab	TIC-458478250
KELT-3b	TIC-67666096
KELT-6b	TIC-165987272
KELT-6c	TIC-165987272
KELT-9b	TIC-16740101
KIC10001893b	TIC-158488181
KIC10001893c	TIC-158488181
KIC10001893d	TIC-158488181
KIC5095269b	TIC-122446960
KIC5437945b	TIC-121603086
KIC5951458b	TIC-121796770
KIC7917485b	TIC-268924604
KIC8540376b	TIC-123449386
KIC8540376c	TIC-123449386
KIC9663113b	TIC-272844987
KMT-2017-BLG-1146Lb	
KMT-2018-BLG-1292Lb	
KOI-12b	TIC-169461816
KOI-1257b	TIC-159647910
KOI-13b	TIC-158324245
KOI-142b	TIC-122712595
KOI-142c	TIC-122712595
KOI-1599.01	TIC-170647523
KOI-1599.02	TIC-170647523
KOI-1783.01	TIC-159051209
KOI-1783.02	TIC-159051209
KOI-351b	TIC-267667295
KOI-351c	TIC-267667295
KOI-351d	TIC-267667295
KOI-351e	TIC-267667295
KOI-351f	TIC-267667295
KOI-351g	TIC-267667295
KOI-351h	TIC-267667295
KOI-55b	TIC-184427882
KOI-55c	TIC-184427882
KOI-94b	TIC-273231214
KOI-94c	TIC-273231214
KOI-94d	TIC-273231214
KOI-94e	TIC-273231214
Kapteync	TIC-200385493
Kepler-10b	TIC-377780790
Kepler-10c	TIC-377780790
Kepler-100b	TIC-159654016
Kepler-100c	TIC-159654016
Kepler-100d	TIC-159654016
Kepler-1001b	TIC-405719252
Kepler-1001c	TIC-405719252
Kepler-1008b	TIC-272491981
Kepler-101b	TIC-48304653
Kepler-101c	TIC-48304653
Kepler-1016b	TIC-271164596
Kepler-1016c	TIC-271164596
Kepler-102b	TIC-123357864
Kepler-102c	TIC-123357864
Kepler-102d	TIC-123357864
Kepler-102e	TIC-123357864
Kepler-102f	TIC-123357864
Kepler-1027b	TIC-158552426
Kepler-103b	TIC-121865656
Kepler-103c	TIC-121865656
Kepler-104b	TIC-158553540
Kepler-104c	TIC-158553540
Kepler-104d	TIC-158553540
Kepler-1047b	TIC-299029323
Kepler-1047c	TIC-299029323
Kepler-105b	TIC-158625964
Kepler-105c	TIC-158625964
Kepler-1050b	TIC-48216453
Kepler-1050c	TIC-48216453
Kepler-106b	TIC-184997417
Kepler-106c	TIC-184997417
Kepler-106d	TIC-184997417
Kepler-106e	TIC-184997417
Kepler-1063b	TIC-122451550
Kepler-1065b	TIC-378012771
Kepler-1065c	TIC-378012771
Kepler-107b	TIC-27988327
Kepler-107c	TIC-27988327
Kepler-107d	TIC-27988327
Kepler-107e	TIC-27988327
Kepler-108b	TIC-271164755
Kepler-108c	TIC-271164755
Kepler-1085b	TIC-158487108
Kepler-1085c	TIC-158487108
Kepler-1086b	TIC-271545939
Kepler-1086c	TIC-271545939
Kepler-109b	TIC-122441003
Kepler-109c	TIC-122441003
Kepler-1093b	TIC-120420344
Kepler-1093c	TIC-120420344
Kepler-11b	TIC-169175503
Kepler-11c	TIC-169175503
Kepler-11d	TIC-169175503
Kepler-11e	TIC-169175503
Kepler-11f	TIC-169175503
Kepler-11g	TIC-169175503
Kepler-110b	TIC-26751563
Kepler-110c	TIC-26751563
Kepler-111b	TIC-63001143
Kepler-111c	TIC-63001143
Kepler-112b	TIC-272943597
Kepler-112c	TIC-272943597
Kepler-1129b	TIC-137212833
Kepler-1129c	TIC-137212833
Kepler-113b	TIC-298834019
Kepler-113c	TIC-298834019
Kepler-1130b	TIC-164882482
Kepler-114b	TIC-27011135
Kepler-114c	TIC-27011135
Kepler-114d	TIC-27011135
Kepler-1143b	TIC-121215172
Kepler-1143c	TIC-121215172
Kepler-115b	TIC-273383120
Kepler-115c	TIC-273383120
Kepler-1150b	TIC-27913639
Kepler-1154b	TIC-169561256
Kepler-1154c	TIC-169561256
Kepler-116b	TIC-271260980
Kepler-116c	TIC-271260980
Kepler-117b	TIC-299032847
Kepler-117c	TIC-299032847
Kepler-118b	TIC-171884427
Kepler-118c	TIC-171884427
Kepler-119b	TIC-271964647
Kepler-119c	TIC-271964647
Kepler-120b	TIC-121458707
Kepler-120c	TIC-121458707
Kepler-121b	TIC-120765800
Kepler-121c	TIC-120765800
Kepler-122b	TIC-122714267
Kepler-122c	TIC-122714267
Kepler-122d	TIC-122714267
Kepler-122e	TIC-122714267
Kepler-122f	TIC-122714267
Kepler-123b	TIC-272944990
Kepler-123c	TIC-272944990
Kepler-124b	TIC-399860218
Kepler-124c	TIC-399860218
Kepler-124d	TIC-399860218
Kepler-1245b	TIC-159449041
Kepler-1245c	TIC-159449041
Kepler-125b	TIC-273873718
Kepler-125c	TIC-273873718
Kepler-1254b	TIC-48506710
Kepler-1254c	TIC-48506710
Kepler-1254d	TIC-48506710
Kepler-126b	TIC-159046962
Kepler-126c	TIC-159046962
Kepler-126d	TIC-159046962
Kepler-127b	TIC-164881786
