#Name,#tic_id,#Per,#Per_err,#Ecc,#Ecc_err,#T0,#T0_err,#a/R*,#a/R*_err,#Rp/R*,#Rp/R*_err,#Teff,#M/H,#logg,#RA,#DEC,#Nos_of_stars,#sum
Kepler-587 b,TIC 158838923,10.94027841,2.949E-05,,,2455003.30652,0.00206,,,0.02265,0.00575,5549,-0.05,4.51,288.6706571,47.3991249,1,4
Kepler-588 b,TIC 164723136,4.22162536,4.75E-06,,,2455006.699875,0.000902,,,0.02403,0.00052,5835,0,4.44,284.2572531,47.6889081,1,6
Kepler-589 b,TIC 123129910,16.54964934,4.571E-05,,,2455004.69418,0.00219,,,0.02518,0.00089,5296,0.01,4.55,280.6414331,47.7520581,1,4
Kepler-590 b,TIC 27905500,5.85296257,4.74E-06,,,2455004.182276,0.000605,,,0.03175,0.00018,6000,0.07,4.35,296.3855467,48.2334177,1,4
Kepler-591 b,TIC 405686888,81.1694299,0.0003199,,,2455011.59321,0.00307,,,0.03311,0.00282,5677,0.01,4.48,286.024052,48.431729,1,2
Kepler-592 b,TIC 377782184,2.82019241,3.79E-06,,,2455003.787613,0.000982,,,0.02055,0.00017,5913,-0.03,4.42,285.7907395,48.6832431,1,4
Kepler-593 b,TIC 27391836,21.21708973,5.927E-05,,,2455004.651,0.00221,,,0.02364,0.00048,5967,0.04,4.39,294.9513923,48.6511709,1,4
Kepler-594 b,TIC 299087968,13.64618192,3.489E-05,,,2455013.34816,0.00206,,,0.02334,0.00073,5485,-0.03,4.52,288.9217259,49.7620237,1,6
Kepler-596 b,TIC 416267321,21.30022655,4.193E-05,,,2455022.70556,0.00154,,,0.02396,0.00054,6267,0.03,4.27,289.5006797,51.6857106,1,6
Kepler-597 b,TIC 138214174,13.02365861,2.728E-05,,,2455011.52409,0.00148,,,0.0234,0.00283,5683,-0.01,4.47,293.4700919,39.2528182,1,1
Kepler-599 b,TIC 120686620,15.65562652,3.161E-05,,,2455003.78357,0.00153,,,0.03252,0.0004,5127,-0.02,4.57,285.9115968,41.0695091,1,4
Kepler-6 b,TIC 27916356,3.2346996,4E-07,,,2454954.486528,9E-06,7.503,0.022,0.09424,0.00012,5647,0.34,4.24,296.8372475,48.2399695,1,4
Kepler-600 b,TIC 164646661,23.67517607,5.668E-05,,,2455012.27604,0.00184,,,0.03291,0.00013,5279,-0.09,4.56,283.8330588,41.9786358,1,4
Kepler-601 b,TIC 351801933,5.37886844,7.27E-06,,,2455002.61518,0.00106,,,0.02231,0.00313,5160,-0.02,4.57,282.0046852,42.1764657,1,4
Kepler-602 b,TIC 272180918,15.28469497,6.919E-05,,,2455008.62261,0.00339,,,0.01699,0.0004,6062,-0.02,4.37,296.0318985,42.1418634,1,4
Kepler-604 b,TIC 63212809,25.85501786,9.434E-05,,,2455025.57518,0.00293,,,0.02301,0.00092,5890,-0.02,4.42,292.3159795,42.6262429,1,2
Kepler-606 b,TIC 63286249,24.31575992,7.998E-05,,,2455016.40799,0.00276,,,0.02473,0.00244,6161,0.01,4.32,292.42737,44.3812406,1,4
