#Name	Per	Per_err	Tc	Tc_err	a/R*	a/R*_err	Rp/R*	Rp/R*_err	Teff	MH	logg
TOI-677b	11.2366	0.00011	2458547.47448	0.00028	17.45591403	0.50062417	0.0942	0.001	6295	0	4.29
WASP-169b	5.6114118	9.2E-06	2457697.0176	0.0014	7.3	0.68	0.066752114099575	0.002095126210116	6110	0.06	3.96
KELT-20b	3.4741085	1.9E-06	2457503.120049	0.00019	7.42	0.13	0.1144	0.00062	8720	-0.29	4.29
WASP-120b	3.6112706	4.3E-06	2456779.43556	0.00051	5.9	0.33	0.08116911	0.00717902	6450	-0.05	4.04
WASP-71b	2.90367	7E-06	2455738.85035	0.0007	4.3	0.27	0.06685844	0.00795515	6050	0.15	3.9
HAT-P-18b	5.508023	6E-06	2454715.02174	0.0002	16.04	0.75	0.1365	0.0015	4803	0.1	4.57
HAT-P-12b	3.2130598	2.1E-06	2454419.19556	0.0002	11.77	0.15	0.1406	0.0013	4650	-0.29	4.61
XO-1b	3.94153	2.7E-05	2453808.91705	9E-05	11.37	0.47	0.1326	0.0004	5750	0.02	4.51
TOI-251b	4.93777	2.8E-05	2458357.30548	0.0013	14.02	0.82	0.02858	0.0011	5875	-0.106	4.56
HATS-26b	3.3023881	7.6E-06	2456867.4232	0.0012	5.01	0.27	0.0879	0.0055	6071	-0.02	3.94
HATS-40b	3.2642736	5.8E-06	2456962.676	0.001	4.74	0.22	0.0716	0.0034	6460	0.01	3.92
CoRoTID223977153b	6.71837	1E-05	2455901.811	0.002	19.58402611	2.19061305	0.054	0.002	5970	0	4.67
WASP-92b	2.1746742	1.6E-06	2456381.2834	0.00027	5.587	0.217	0.0963	0.0017	6280	0	4.26
WASP-105b	7.87288	1E-05	2456600.0765	0.0002	17.9	0.2	0.10964258	0.00502196	5070	0.28	4.2
TOI-237b	5.436098	3.9E-05	2458697.7198	0.000796	34.7	2.9	0.062	0.002	3212	0	5.04
HAT-P-34b	5.452654	1.6E-05	2455431.59706	0.00055	9.48	0.64	0.0842	0.0015	6442	0.22	4.21
WASP-72b	2.21673	2E-06	2455583.6524	0.002	4.61	0.35	0.0651	0.0031	6250	-0.06	4.09
HATS-66b	3.1414391	7.4E-06	2457603.0514	0.0014	5.5	0.11	0.0787	0.0043	6626	-0.017	4.06
HATS-25b	4.2986432	4.5E-06	2456870.36872	0.00051	10.03	0.62	0.1171	0.0026	5715	0.02	4.35
TOI-1235b	3.444729	3.1E-05	2458845.51696	0.00099	13.2	0.41	0.0254	0.0009	3872	0.05	4.65
WASP-31b	3.4059096	5E-06	2455192.6887	0.0003	8	0.19	0.12725729	0.00532388	6302	0.2	4.31
WASP-78b	2.17518	5E-06	2456139.0303	0.0005	3.54	0.21	0.0795523	0.00673022	6100	-0.35	4.1
HATS-43b	4.3888497	5.9E-06	2457636.08946	0.00025	13.04	0.68	0.1492	0.0017	5099	0.05	4.54
WASP-91b	2.798581	3E-06	2456297.719	0.0002	9.1	0.3	0.12330026	0.0064432	4920	0.19	4.3
WASP-106b	9.28971	1E-05	2456649.55057	0.00033	13.79	0.44	0.0800994	0.00350638	6055	-0.09	4.23
WASP-132b	7.133521	9E-06	2456698.2076	0.0004	19.4801831	0.60918447	0.12094538	0.00528898	4775	0.22	4.61
WASP-63b	4.37808	6E-06	2455921.65359	0.0005	6.59	0.3	0.07829983	0.00551946	5550	0.08	4.01
HAT-P-43b	3.332687	1.5E-05	2455997.37106	0.00032	8.64	0.12	0.1193	0.0018	5645	0.23	4.37
K2-261b	11.63344	0.00012	2457906.84084	0.00054	13.3	2.4	0.05293	0.00096	5537	0.36	4.21
HATS-2b	1.354133	1E-06	2455954.58576	9E-05	5.5	0.09	0.1335	0.001	5227	0.15	4.48
WASP-117b	10.02165	0.00055	2457355.51373	0.00055	17.43	0.98	0.09001089	0.00793523	6040	-0.11	4.28
HAT-P-66b	2.972086	5.7E-06	2457258.79907	0.00072	5.01	0.21	0.0872	0.0024	6002	0.035	3.99
WASP-46b	1.43036763	9.3E-07	2455392.31659	0.00058	5.851	0.038	0.14075	0.00035	5600	-0.3	4.49
Qatar-1b	1.4200242	2.2E-07	2456234.103218	6.1E-05	6.247	0.067	0.14629	0.00063	5013	0.171	4.55
HATS-34b	2.1061607	4.7E-06	2456634.85732	0.00075	6.96	0.34	0.15	0.014	5380	0.25	4.43
WASP-138b	3.634433	5E-06	2457326.62183	0.000319	7.82121362	0.3090118	0.08247285	0.00492269	6272	-0.09	4.25
WASP-29b	3.92273	4E-06	2455830.18886	0.00016	12.18	0.69	0.0982	0.0015	4800	0.11	4.5
WASP-131b	5.322023	5E-06	2456919.8236	0.0004	8.54147889	0.30605405	0.08205333	0.00427195	6030	-0.18	4.09
WASP-83b	4.971252	1.5E-05	2455928.8853	0.0004	12.11325886	0.6139127	0.1020743	0.00805398	5510	0.29	4.44
HATS-18b	0.83784	4.7E-07	2457089.90598	0.00026	3.658	0.008	0.132	0.0004	5600	0.28	4.44
HATS-51b	3.3488702	3.9E-06	2457042.00405	0.00058	6.94	0.74	0.101	0.0038	5758	0	4.2
KELT-14b	1.7100566	3.2E-06	2456665.22401	0.00021	4.248	0.072	0.1143	0.0029	5720	0.32	4.17
