#
# RESULTS FROM OUR FITS
# ---------------------
#
# Below, you will find the results of our fits. Next to each of the paramerters there are "UE" and "DE" columns which represents the "Upper Errors" and "Down Errors" --- i.e., the upper and lower bands of the 68% credibility bands (1-sigma errors).
# Note there are some planets commented out --- these are planets for which the actual lightcurve SNR is very bad for some reason (probably blended targets).
#
# Planet        Depth   UE      DE      rp/rs   UE      DE      b       UE      DE      q1      UE      DE      q2      UE      DE      u1      UE      DE      u2      UE      DE      a/rs    UE      DE      t0              UE      DE      P               UE              DE              Sectors observed/fitted
WASP-99b	4601	39	34	0.06783	0.00029	0.00025	0.100	0.085	0.065	0.240	0.044	0.039	0.405	0.084	0.075	0.397	0.048	0.049	0.093	0.086	0.084	8.710	0.042	0.099	2459141.54851	0.00018	0.00018	5.7525835	0.0000024	0.0000022	3,29,30
HD2685b	        9067	59	64	0.09522	0.00031	0.00034	0.258	0.037	0.047	0.107	0.024	0.021	0.51	0.12	0.10	0.337	0.038	0.040	-0.009	0.071	0.069	7.517	0.080	0.076	2459085.13414	0.00012	0.00012	4.12690469	0.00000089	0.00000086	1,27,28
WASP-121b	14802	68	65	0.12166	0.00028	0.00027	0.091	0.052	0.057	0.209	0.025	0.024	0.244	0.038	0.035	0.223	0.022	0.022	0.234	0.047	0.045	3.809	0.012	0.019	2459253.128914	0.000038	0.000037	1.27492500	0.00000010	0.00000011	7,33,34
HAT-P-50b	6007	186	159	0.0775	0.0012	0.0010	0.650	0.031	0.035	0.38	0.15	0.12	0.35	0.22	0.17	0.43	0.18	0.19	0.19	0.28	0.26	5.60	0.21	0.17	2459251.81615	0.00043	0.00045	3.1220157	0.0000020	0.0000016	7,34
TOI-954b	2124	100	72	0.04609	0.00107	0.00079	0.36	0.18	0.20	0.241	0.141	0.078	0.62	0.23	0.28	0.59	0.15	0.18	-0.12	0.31	0.18	6.70	0.37	0.63	2459156.27005	0.00054	0.00054	3.6849729	0.0000026	0.0000024	31
HATS-27b	8255	584	504	0.0909	0.0032	0.0028	0.36	0.20	0.22	0.32	0.32	0.17	0.35	0.32	0.22	0.39	0.25	0.23	0.16	0.35	0.30	7.32	0.44	0.74	2458619.8456	0.0013	0.0014	4.637038	0.000012	0.000012	10,11
WASP-93b	10454	1219	2773	0.1022	0.0058	0.0146	0.839	0.063	0.230	0.75	0.17	0.53	0.75	0.18	0.45	1.15	0.54	0.83	-0.36	0.56	0.40	6.73	1.97	0.69	2458773.84697	0.00033	0.00033	2.7325321	0.0000017	0.0000018	17
HATS-41b	4491	861	599	0.0670	0.0061	0.0046	0.61	0.18	0.36	0.60	0.25	0.26	0.44	0.28	0.25	0.65	0.38	0.37	0.08	0.41	0.38	10.43	2.25	2.30	2459253.2121	0.0011	0.0011	4.193649	0.000011	0.000012	33,34
HATS-29b	14939	1475	1412	0.1222	0.0059	0.0059	0.521	0.081	0.168	0.46	0.29	0.20	0.41	0.29	0.24	0.54	0.27	0.28	0.12	0.38	0.34	10.82	0.89	0.67	2458667.04483	0.00071	0.00069	4.6058754	0.0000055	0.0000058	13
HATS-60b	5501	262	240	0.0742	0.0017	0.0016	0.26	0.20	0.16	0.22	0.25	0.14	0.19	0.26	0.14	0.17	0.18	0.12	0.26	0.27	0.24	7.57	0.27	0.57	2459098.20902	0.00076	0.00082	3.560832	0.000028	0.000029	29
HAT-P-2b	4781	59	59	0.06914	0.00042	0.00043	0.457	0.035	0.040	0.127	0.036	0.028	0.58	0.20	0.17	0.408	0.083	0.081	-0.05	0.13	0.12	9.04	0.19	0.18	2459006.93776	0.00033	0.00035	5.6335152	0.0000034	0.0000034	24,25
WASP-97b	11954	152	151	0.10934	0.00069	0.00069	0.400	0.032	0.036	0.237	0.061	0.053	0.47	0.13	0.10	0.454	0.064	0.061	0.03	0.12	0.12	6.322	0.083	0.079	2459112.047777	0.000085	0.000083	2.07275982	0.00000030	0.00000029	2,29
HATS-45b	9913	599	421	0.0996	0.0030	0.0021	0.28	0.20	0.17	0.55	0.26	0.23	0.37	0.25	0.17	0.55	0.21	0.23	0.19	0.31	0.34	11.69	0.45	0.93	2459227.01761	0.00060	0.00058	4.1876180	0.0000039	0.0000041	6,7,33
WASP-166b	2684	97	89	0.05180	0.00092	0.00086	0.365	0.104	0.089	0.40	0.15	0.13	0.22	0.21	0.12	0.28	0.17	0.15	0.36	0.23	0.27	11.25	0.38	0.52	2458524.40848	0.00033	0.00031	5.4435397	0.0000031	0.0000030	8
#HATS-23b	327147	373030	219870	0.57	0.26	0.24	1.39	0.28	0.27	0.48	0.30	0.30	0.52	0.30	0.32	0.62	0.52	0.41	-0.02	0.40	0.38	6.64	0.64	0.51	2458667.3102	0.0012	0.0012	2.1605157	0.0000040	0.0000041	13
HATS-63b	12144	1053	1735	0.1102	0.0047	0.0082	0.663	0.092	0.364	0.48	0.30	0.25	0.41	0.29	0.24	0.55	0.32	0.32	0.12	0.36	0.34	8.69	2.10	0.93	2459197.43113	0.00068	0.00069	3.0566527	0.0000043	0.0000044	31,32
HAT-P-31b	8335	284	273	0.0913	0.0015	0.0015	0.723	0.032	0.036	0.27	0.16	0.11	0.36	0.35	0.25	0.37	0.28	0.24	0.14	0.32	0.33	7.94	0.37	0.34	2459020.83833	0.00066	0.00064	5.005419	0.000085	0.000087	26
