121-125  F5.3   ---    tc_lit_e [0.0/0.19] 1-sigma errors on predicted transit
                               time
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
WASP-141b 0.0926 0.0013 0.0018  6.81 0.41 0.33 1198.01429 0.00042 0.00043 0.0910 0.0076 0.0076  7.38 0.39 0.39 1198.004 0.003
KPS-1b    0.1036 0.0056 0.0060  7.64 1.11 0.86  883.66839 0.00032 0.00033 0.1143 0.0037 0.0037  6.44 0.66 0.66  883.640 0.048
HATS-47b  0.1722 0.0070 0.0143 15.53 1.99 1.21 1056.08592 0.00060 0.00060 0.1746 0.0014 0.0014 13.98 0.15 0.15 1056.086 0.001
LHS1815b  0.0201 0.0024 0.0010 17.17 1.99 4.16 1250.47570 0.00150 0.00130 0.0199 0.0009 0.0009 17.40 2.82 2.82 1250.484 0.007
WASP-95b  0.1025 0.0005 0.0005  5.89 0.06 0.06 1084.58506 0.00008 0.00008 0.1104 0.0081 0.0081  6.51 0.39 0.39 1084.589 0.001
TOI-132b  0.0356 0.0013 0.0011  7.03 0.51 1.20 1084.28228 0.00089 0.00103 0.0348 0.0016 0.0016  6.36 0.41 0.41 1084.285 0.004
K2-237b   0.1274 0.0025 0.0025  6.17 0.13 0.19  639.88506 0.00039 0.00040 0.1195 0.0015 0.0015  5.50 0.01 0.01  639.895 0.003
XO-6b     0.1158 0.0010 0.0009  8.17 0.07 0.07 1032.18897 0.00015 0.00015 0.1100 0.0060 0.0060  9.08 0.17 0.17 1032.193 0.005
WASP-35b  0.1227 0.0011 0.0011  8.37 0.13 0.14 1198.89939 0.00010 0.00010 0.1241 0.0008 0.0008  8.53 0.21 0.21 1198.913 0.002
HATS-68b  0.0756 0.0010 0.0009  6.03 0.29 0.24 1110.27702 0.00054 0.00053 0.0725 0.0016 0.0016  6.23 0.09 0.09 1110.277 0.002
HAT-P-55b 0.1260 0.0030 0.0032  9.63 0.57 0.54 1032.55435 0.00041 0.00044 0.1202 0.0019 0.0019  9.79 0.34 0.34 1032.563 0.004
KELT-24b  0.0871 0.0003 0.0002  9.97 0.07 0.09  895.77317 0.00007 0.00007 0.0868 0.0007 0.0007  9.95 0.17 0.17  895.773 0.001
WASP-124b 0.1271 0.0025 0.0045  9.08 0.59 0.39  337.17195 0.00033 0.00033 0.1249 0.0039 0.0039  9.43 1.93 1.93  337.172 0.000
HATS-28b  0.1377 0.0034 0.0037 12.72 0.49 0.92  669.35409 0.00065 0.00060 0.1331 0.0029 0.0029  9.63 0.42 0.42  669.357 0.002
WASP-142b 0.0988 0.0043 0.0053  5.23 1.11 0.63  526.90361 0.00101 0.00097 0.0960 0.0069 0.0069  4.56 0.25 0.25  526.900 0.002
WASP-13b  0.0932 0.0010 0.0011  7.75 0.23 0.20  883.80332 0.00022 0.00022 0.0918 0.0127 0.0127  7.35 0.26 0.26  883.802 0.002
HAT-P-70b 0.0930 0.0008 0.0009  5.52 0.12 0.11 1188.77414 0.00017 0.00017 0.0989 0.0013 0.0013  5.45 0.29 0.29 1188.776 0.001
WASP-50b  0.1373 0.0014 0.0013  7.36 0.11 0.10 1169.66923 0.00011 0.00010 0.1390 0.0006 0.0006  7.51 0.10 0.10 1169.682 0.009
HAT-P-9b  0.1079 0.0019 0.0029  8.73 0.63 0.52  854.60866 0.00040 0.00043 0.1070 0.0009 0.0009  8.50 0.34 0.34  854.607 0.001
WASP-19b  0.1519 0.0018 0.0020  3.60 0.06 0.06  556.24349 0.00009 0.00009 0.1409 0.0013 0.0013  3.46 0.08 0.08  556.243 0.000
