Title: Empirical limb-darkening coefficients & transit parameters of 
       known exoplanets from TESS
Authors: Patel J.A., Espinoza N. 
Table: Various stellar properties of our targets. 
================================================================================
Byte-by-byte Description of file: datafile3.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label  Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---      Name      Name of the host star                         
  10- 15 F6.1   K        Teff      [3036.0/8720.0] Effective temperature (1)
  17- 22 F6.3   [-]      Fe/H      [-0.35/0.47] Metallicity (1) (2)
  24- 28 F5.3   [cm/s2]  logg      [3.58/5.06] Surface gravity (in log cgs units) (1)
  30-32  A3     ---      vturb     Microturbulent veocity                         
  34-54  A21    ---      temp-ref  Reference bibcode to the effecttive temperature
  56-76  A21    ---      [M/H]-ref Reference bibcode to the metallicity (2)           
  78-98  A21    ---      logg-ref  Reference bibcode to the  surface gravity      
--------------------------------------------------------------------------------
Note (1): The data of literature planetary parameters was extracted from the NASA
    Exoplanet Archive on February 23, 2021.
    (2): "-----" means that the metallicity for the source was not available. In 
    this case, we put "NONE" in the reference column.
--------------------------------------------------------------------------------
WASP-50  5400.0 0.120  4.540 ... 2019AJ....158...39C   2017A&A...602A.107B   2017AJ....153..136S  
HAT-P-9  6350.0 0.120  4.290 ... 2019AJ....157...82W   2019AJ....157...82W   2019AJ....157...82W  
WASP-19  5568.0 0.150  4.450 ... 2016ApJ...823..122W   2016ApJ...823..122W   2016ApJ...823..122W  
HATS-44  5080.0 0.320  4.510 ... 2018AJ....155..112B   2018AJ....155..112B   2018AJ....155..112B  
WASP-96  5540.0 0.140  4.420 ... 2014MNRAS.440.1982H   2014MNRAS.440.1982H   2014MNRAS.440.1982H  
WASP-101 6380.0 0.200  4.310 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
HATS-22  4803.0 0.000  4.640 ... 2017MNRAS.468..835B   2017MNRAS.468..835B   2017MNRAS.468..835B  
WASP-167 7000.0 0.100  4.130 ... 2017MNRAS.471.2743T   2017MNRAS.471.2743T   2017MNRAS.471.2743T  
TOI-157  5404.0 0.240  4.280 ... 2020arXiv200305932N   2020arXiv200305932N   2020arXiv200305932N  
WASP-17  6550.0 -0.250 4.200 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
TOI-677  6295.0 0.000  4.290 ... 2020AJ....159..145J   2020AJ....159..145J   2020AJ....159..145J  
WASP-169 6110.0 0.060  3.960 ... 2019MNRAS.489.2478N   2019MNRAS.489.2478N   2019MNRAS.489.2478N  
KELT-20  8720.0 -0.290 4.290 ... 2017AJ....154..194L   2017AJ....154..194L   2017AJ....154..194L  
WASP-120 6450.0 -0.050 4.040 ... 2016PASP..128f4401T   2016PASP..128f4401T   2016PASP..128f4401T  
WASP-71  6050.0 0.150  3.900 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
HAT-P-18 4803.0 0.100  4.570 ... 2011ApJ...726...52H   2011ApJ...726...52H   2011ApJ...726...52H  
HAT-P-12 4650.0 -0.290 4.610 ... 2009ApJ...706..785H   2009ApJ...706..785H   2009ApJ...706..785H  
XO-1     5750.0 0.020  4.510 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
TOI-251  5875.0 -0.106 4.560 ... 2021AJ....161....2Z   2021AJ....161....2Z   2021AJ....161....2Z  
HATS-26  6071.0 -0.020 3.940 ... 2016AJ....152..108E   2016AJ....152..108E   2016AJ....152..108E  
HATS-40  6460.0 0.010  3.920 ... 2018MNRAS.477.3406B   2018MNRAS.477.3406B   2018MNRAS.477.3406B  
CoRoT-32 5970.0 0.000  4.670 ... 2018MNRAS.473..710B   2018MNRAS.473..710B   2018MNRAS.473..710B  
WASP-92  6280.0 0.000  4.260 ... 2016MNRAS.463.3276H   2016MNRAS.463.3276H   2016MNRAS.463.3276H  
WASP-105 5070.0 0.280  4.200 ... 2017A&A...604A.110A   2017A&A...604A.110A   2017A&A...604A.110A  
TOI-237  3212.0 0.000  5.040 ... 2021AJ....161...13W   2021AJ....161...13W   2021AJ....161...13W  
HAT-P-34 6442.0 0.220  4.210 ... 2017A&A...602A.107B   2017A&A...602A.107B   2017AJ....153..136S  
WASP-72  6250.0 -0.060 4.090 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
HATS-66  6626.0 -0.017 4.060 ... 2019AJ....157...55H   2019AJ....157...55H   2019AJ....157...55H  
HATS-25  5715.0 0.020  4.350 ... 2016AJ....152..108E   2016AJ....152..108E   2016AJ....152..108E  
TOI-1235 3872.0 0.050  4.650 ... 2020AJ....160...22C   2020AJ....160...22C   2020AJ....160...22C  
WASP-31  6302.0 0.200  4.310 ... 2011A&A...531A..60A   2017A&A...602A.107B   2019AJ....158..138S  
WASP-78  6100.0 -0.350 4.100 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
HATS-43  5099.0 0.050  4.540 ... 2018AJ....155..112B   2018AJ....155..112B   2018AJ....155..112B  
WASP-91  4920.0 0.190  4.300 ... 2017A&A...604A.110A   2017A&A...604A.110A   2017A&A...604A.110A  
WASP-106 6055.0 -0.090 4.230 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
WASP-132 4775.0 0.220  4.610 ... 2017MNRAS.465.3693H   2017MNRAS.465.3693H   2017MNRAS.465.3693H  
WASP-63  5550.0 0.080  4.010 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
HAT-P-43 5645.0 0.230  4.370 ... 2013A%26A...558A..86B 2013A%26A...558A..86B 2013A%26A...558A..86B
K2-261   5537.0 0.360  4.210 ... 2018MNRAS.481..596J   2018MNRAS.481..596J   2018MNRAS.481..596J  
HATS-2   5227.0 0.150  4.480 ... 2013A%26A...558A..55M 2013A%26A...558A..55M 2013A%26A...558A..55M
WASP-117 6040.0 -0.110 4.280 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
HAT-P-66 6002.0 0.035  3.990 ... 2016AJ....152..182H   2016AJ....152..182H   2016AJ....152..182H  
WASP-46  5600.0 -0.300 4.490 ... 2016MNRAS.456..990C   2016MNRAS.456..990C   2016MNRAS.456..990C  
Qatar-1  5013.0 0.171  4.550 ... 2017AJ....153...78C   2017AJ....153...78C   2017AJ....153...78C  
HATS-34  5380.0 0.250  4.430 ... 2016AJ....152..161D   2016AJ....152..161D   2016AJ....152..161D  
WASP-138 6272.0 -0.090 4.250 ... 2017A&A...599A...3L   2017A&A...599A...3L   2017A&A...599A...3L  
WASP-29  4800.0 0.110  4.500 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
WASP-131 6030.0 -0.180 4.090 ... 2017MNRAS.465.3693H   2017MNRAS.465.3693H   2017MNRAS.465.3693H  
WASP-83  5510.0 0.290  4.440 ... 2015AJ....150...18H   2015AJ....150...18H   2015AJ....150...18H  
HATS-18  5600.0 0.280  4.440 ... 2019AJ....158...39C   2016AJ....152..127P   2016AJ....152..127P  
HATS-51  5758.0 -----  4.200 ... 2018AJ....155...79H   NONE                  2018AJ....155...79H  
KELT-14  5720.0 0.320  4.170 ... 2016PASP..128f4401T   2016PASP..128f4401T   2016PASP..128f4401T  
